across_within,measure,model,var,coef,pvalue,tool,pvalue_adjusted,significant,significant_robustness_firstsessiononly,significant_robustness_session1only,significant_robustness_session2only,significant_robustness_BMIweight1
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight + sex,weight,0.13320386148634686,0.3063342071709359,,0.5766290958511735,False,False,False,False,False
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight + sex,session_no_2,0.2771597660491981,0.8124007345708232,,0.8998900444476811,False,,,,False
within,upper_arm_length,avg_upper_arm_length + session_no + BMI + weight + sex,sex_Male,-0.2962097725505419,0.8702396938805999,,0.9115876603622988,False,False,False,False,False
across,standing_height,avg_mocap_standing_height,const,-4.492533845837609,0.8093309573823902,mocap,0.8998900444476811,False,False,False,False,False
across,standing_height,avg_mocap_standing_height,avg_mocap_standing_height,0.031637483059960454,0.8060877407653544,mocap,0.8998188734124886,False,False,False,False,False
across,standing_height,avg_mocap_standing_height + avg_BMI,const,-14.080393516340141,0.5188939121816303,mocap,0.7214905455642023,False,False,False,False,False
across,standing_height,avg_mocap_standing_height + avg_BMI,avg_mocap_standing_height,0.019134031856423497,0.8836519142251255,mocap,0.9157191444042708,False,False,False,False,False
across,standing_height,avg_mocap_standing_height + avg_BMI,avg_BMI,0.4638255074530001,0.3772939216158734,mocap,0.6306489333336189,False,False,False,False,
across,standing_height,avg_mocap_standing_height + avg_BMI + avg_weight,const,137.17055066733835,0.18483986812702097,mocap,0.44723041473553743,False,False,False,False,False
across,standing_height,avg_mocap_standing_height + avg_BMI + avg_weight,avg_mocap_standing_height,-0.9488134720231011,0.15466925748960147,mocap,0.42023345431137005,False,False,False,False,False
across,standing_height,avg_mocap_standing_height + avg_BMI + avg_weight,avg_BMI,-3.43173288588521,0.1951626740872289,mocap,0.44817845817842816,False,False,False,False,
across,standing_height,avg_mocap_standing_height + avg_BMI + avg_weight,avg_weight,1.179621807815429,0.14085655392115434,mocap,0.4033655915978158,False,False,False,False,
across,standing_height,avg_mocap_standing_height + avg_BMI + avg_weight + sex,const,160.9535819209476,0.14131319328193276,mocap,0.4033655915978158,False,False,False,False,False
across,standing_height,avg_mocap_standing_height + avg_BMI + avg_weight + sex,avg_mocap_standing_height,-1.04783378902472,0.1293638678822474,mocap,0.4033655915978158,False,False,False,False,False
across,standing_height,avg_mocap_standing_height + avg_BMI + avg_weight + sex,avg_BMI,-3.5781386829531656,0.18352456514163282,mocap,0.44723041473553743,False,False,False,False,
across,standing_height,avg_mocap_standing_height + avg_BMI + avg_weight + sex,avg_weight,1.0585961040558989,0.18997809946993288,mocap,0.4480706973676668,False,False,False,False,
across,standing_height,avg_mocap_standing_height + avg_BMI + avg_weight + sex,sex_Male,5.397545266844546,0.34030677734537684,mocap,0.6150301082398265,False,False,False,False,False
across,wingspan,avg_mocap_wingspan,const,-37.70956964700499,0.006086105391241875,mocap,0.07415841799987917,False,False,False,False,False
across,wingspan,avg_mocap_wingspan,avg_mocap_wingspan,0.2807383172373698,0.005894762584126656,mocap,0.07415841799987917,False,False,False,False,False
across,wingspan,avg_mocap_wingspan + avg_BMI,const,-25.80734637075143,0.05501825998100162,mocap,0.22317266020462628,False,False,False,False,False
across,wingspan,avg_mocap_wingspan + avg_BMI,avg_mocap_wingspan,0.30490687588425636,0.002501007851138974,mocap,0.04237001536047203,True,False,False,True,True
across,wingspan,avg_mocap_wingspan + avg_BMI,avg_BMI,-0.6171477548300228,0.09808856175368695,mocap,0.34450616811051027,False,False,False,False,
across,wingspan,avg_mocap_wingspan + avg_BMI + avg_weight,const,-50.633572661040034,0.09205544143864382,mocap,0.3296701886341985,False,False,False,False,False
across,wingspan,avg_mocap_wingspan + avg_BMI + avg_weight,avg_mocap_wingspan,0.4796107604142764,0.030280872498645618,mocap,0.1677094476848065,False,False,False,False,False
across,wingspan,avg_mocap_wingspan + avg_BMI + avg_weight,avg_BMI,0.19283866997936328,0.8249223405473005,mocap,0.9067848628916891,False,False,False,False,
across,wingspan,avg_mocap_wingspan + avg_BMI + avg_weight,avg_weight,-0.2611030959097578,0.32662147451125556,mocap,0.6029934914053949,False,False,False,False,
across,wingspan,avg_mocap_wingspan + avg_BMI + avg_weight + sex,const,-32.687263245793204,0.2851474884928635,mocap,0.5438574614963224,False,False,False,False,False
across,wingspan,avg_mocap_wingspan + avg_BMI + avg_weight + sex,avg_mocap_wingspan,0.4071975512591463,0.05894637148834134,mocap,0.2325555477896206,False,False,False,False,False
across,wingspan,avg_mocap_wingspan + avg_BMI + avg_weight + sex,avg_BMI,0.14443743365671535,0.8618837887023294,mocap,0.9115876603622988,False,False,False,False,
